原始路径,字节数,尺寸,含透明像素,分类,SHA256,新共用ID,迁移方式
archive_ui_kit_v1/exact_crops/icon_blessing.png,4235,"[44, 48]",False,reference_only,15e1f96a4e5ecfc3e9545070ca20408f07dce160869636843f63423a5d86f550,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_book.png,3292,"[43, 30]",False,reference_only,5bff8d3a7bf58025c82458be0082f6d9deb9459d49a1f548524c316718d8ef6f,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_clear.png,3094,"[44, 48]",False,reference_only,9e51ba4a19a306bc587ab3fd740d5752a2db4a0c4378a522e69285e9e433436e,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_close.png,3439,"[39, 40]",False,reference_only,a2501d554b9c1c86c5f8ab1dc63dbade2342848f615a14379ae46e1f6d1784a5,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_endless.png,3574,"[44, 48]",False,reference_only,87111450bd9ebf9d7c707c986eff6aac6c4d15a30ca1572254dd591ccf089e12,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_ex.png,4065,"[44, 48]",False,reference_only,d83300596a6f5fda4e1278bf0e15094f4ef2c5f622e8d111fd62352d9d859b3a,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_friends.png,3296,"[44, 48]",False,reference_only,8bc2ba166d50e5b0152b344e00dd1cb432b9772779625d1ecd608f08b3439cfc,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_hint.png,1169,"[22, 24]",False,reference_only,fdb233bb534e4cd2878fe8f114bc1e12cf5cd2efc598170cbdfe12aae8cad6ce,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_points.png,4338,"[44, 48]",False,reference_only,67798184b6aeaa563426205530870b621d0f606be9812093feb71840e465ff79,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_spell.png,4574,"[44, 48]",False,reference_only,38687f0e5cc24386758ac646be96731ccddd6aefc4a0b8e3ed5aabb39d057033,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_void.png,3874,"[44, 48]",False,reference_only,eaf27f8e51b05fc0e1eb8c3ddf8ff79357398eabb616e958b75b6f83f340662b,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/icon_weapon.png,3775,"[44, 48]",False,reference_only,cd594658d62458995ea18e4bedc12316c5f1283477dba1f98065ce0c639e4fd6,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_blessing.png,23064,"[242, 68]",False,reference_only,b051a135da8be13680f5ebe09a79c7f048fd66d9102443ded6e47a6fbef9f7ed,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_clear.png,24455,"[242, 68]",False,reference_only,4aa3737a0b6274436bf0124cf33aad3de482fc7dfcde500a69071364be07c639,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_endless.png,18917,"[242, 68]",False,reference_only,5c246b024775230032aeb199b34844db7260e6453eb30b9df4f7435990978975,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_ex.png,20600,"[242, 68]",False,reference_only,45537b7d270267262dec4a02b659761521c4c3e32f6dedd91ccb9fc5116aa3e2,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_friends.png,19743,"[242, 68]",False,reference_only,b0a8d7f89e75526640b0eee627e26946ef539451a031c2ce881e72b5edbf51ad,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_points.png,20683,"[242, 68]",False,reference_only,c0a4f9e263bedaf0028a679ebc1b6464cd75a52f55e8845a62eff9f38413d876,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_spell.png,21483,"[242, 68]",False,reference_only,6a408a2c05091827f01daac70ba12759dcd35f738baed54a7d6d38ff14e62ba9,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_void.png,20244,"[242, 68]",False,reference_only,69a7b8114c7cafc5ede64ec2d1ad2a128baf7ca508396f605867e52f5d8eca11,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/nav_weapon.png,20002,"[242, 68]",False,reference_only,fe5d13f91f663b5d23905df3ca4b8f75b695e1000a3eb838ec246dbaccba139b,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/panel.png,765330,"[762, 681]",False,reference_only,7c90c59977760b66c6c3d884a4c03037793e405af1b3143ccf0552cb8e9df28e,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/scrollbar.png,10930,"[21, 487]",False,reference_only,169e43fe40796a7de61daf87f949a2600915842c67140629c2c2fef4207cfb37,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/sidebar.png,208437,"[242, 681]",False,reference_only,d64a30ac62301d6a094d207f47bfbdd72966edea2bf19f6d8c393f3d7f824d47,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/status_locked.png,5908,"[129, 27]",False,reference_only,e2a7c68e2c069a7d5e3f4107055db52363bf7a13ef76c78f3999d6646af7128d,,保留原包；只在需要时接入
archive_ui_kit_v1/exact_crops/status_unlocked.png,6172,"[128, 27]",False,reference_only,b71d6f6dbdf8277dc05b3f71aeb88e1a9c04269664e2f57a199e24d8a380a2f0,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/blessing_disabled.png,1356,"[64, 64]",True,page_specific_or_candidate,3f131aaf162ae5ef4e98e023166d7270c8d6adb0b4f9c1e45d4bb4e21daa5461,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/blessing_hover.png,1352,"[64, 64]",True,page_specific_or_candidate,d1ad5e8d8476da028d1c7332b53252f14d0b0f51fcb7454f22a40349186f4943,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/blessing_normal.png,1370,"[64, 64]",True,page_specific_or_candidate,ef92d686301193976c58b244d2a0ff484c578e2b96753ec9146ffb9ce5dde842,icon.archive.blessing,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/blessing_selected.png,1370,"[64, 64]",True,page_specific_or_candidate,9ea212af97999009ab25e7fa2a6578a808750c44b3b1a5b8a534f96993cee0f8,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/book_disabled.png,1639,"[64, 64]",True,page_specific_or_candidate,8044abbe5966c7a41da53f8c6330f44e2c661f2bde0f5b951b76492bdb5fd140,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/book_hover.png,1626,"[64, 64]",True,page_specific_or_candidate,f19288b06764bb67cd79af7bcd1d50f927c5e1e600642880eabfb0c370e71b40,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/book_normal.png,1638,"[64, 64]",True,page_specific_or_candidate,95f772bc151b5818ebd59a903197e770dacbe93d3b4664c961c433f9ac7d5dae,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/book_selected.png,1640,"[64, 64]",True,page_specific_or_candidate,787ac43f3a14222ad2208e72101f80f37da756c8bc4ba584839810ac5ac1328f,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/clear_disabled.png,903,"[64, 64]",True,page_specific_or_candidate,4f76f9bd7ecaab10fc042f2527868bc4a14388dc59683ac9e42397138b9f2006,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/clear_hover.png,997,"[64, 64]",True,page_specific_or_candidate,0d7d8c731abab75f02e75b0d16b6677067bc46b28db014be8c96890cff34929f,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/clear_normal.png,1000,"[64, 64]",True,page_specific_or_candidate,45a6a6dddcf4579877350d7a32894951caaa2c29152c83941dc681b206b3bd94,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/clear_selected.png,998,"[64, 64]",True,page_specific_or_candidate,e1fbfcd946f23f7b530d2a5fa75686a754f7fd3308d6402775d305e1157bc88f,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/close_disabled.png,1055,"[64, 64]",True,page_specific_or_candidate,1b63360ad09dc4091e96d2255b78dec71a483d9c9ffcda94c52de08074032616,icon.close,shared_normal_plus_state
archive_ui_kit_v1/icons_rgba/close_hover.png,1043,"[64, 64]",True,page_specific_or_candidate,e73e7a68ef2dfebeaa1d1c07ea021da3aff874b30bdda24bd425896a7177f74b,icon.close,shared_normal_plus_state
archive_ui_kit_v1/icons_rgba/close_normal.png,1055,"[64, 64]",True,page_specific_or_candidate,abf09aa54a261eaf31af405fd824c2a1bb0f8c2d797d36d94b8563a2963f79de,icon.close,shared_normal_plus_state
archive_ui_kit_v1/icons_rgba/close_selected.png,1055,"[64, 64]",True,page_specific_or_candidate,1f8c2f795e1ba79d07c458fdb3e0d15664a2156e445c8a5325a624a6314e8fb3,icon.close,shared_normal_plus_state
archive_ui_kit_v1/icons_rgba/endless_disabled.png,1138,"[64, 64]",True,page_specific_or_candidate,004662d83370317509872933465c4f35c9833b83010389549af5db9bb189a753,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/endless_hover.png,1141,"[64, 64]",True,page_specific_or_candidate,56f949974061811e3a0a0ad38698f8b5708db486e0b7b1f877e4c8c968dbf2b6,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/endless_normal.png,1174,"[64, 64]",True,page_specific_or_candidate,3cc34c7f517e01072384675744bfd570fafba40416e0a5f48fa80c86f90a1ec7,icon.archive.endless,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/endless_selected.png,1173,"[64, 64]",True,page_specific_or_candidate,ec16aa8b607e15bd24cce5e472da68236f67dfc63f28729a207d64bf89d44098,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/ex_disabled.png,1484,"[64, 64]",True,page_specific_or_candidate,b77df7ce8d72d0a267bf02827dc1edfed74a39e3fe317b9081e43049b2fa1cd7,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/ex_hover.png,1569,"[64, 64]",True,page_specific_or_candidate,03fa8d96c5dc5fe0f0a9ffbfa3576d47d3cb7cd00970d88df9492e5db68f62d3,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/ex_normal.png,1569,"[64, 64]",True,page_specific_or_candidate,a96f92c2a545f49bd822d61ab0c50fa4841e6a76f31c1a8b572de6f2f60c80c3,icon.archive.ex,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/ex_selected.png,1568,"[64, 64]",True,page_specific_or_candidate,bfb395e793260a912c0f7aec01f448cb5619b75b50f1f351fd8fe70740c023b6,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/friends_disabled.png,1259,"[64, 64]",True,page_specific_or_candidate,8caf30f03c615976ec5eea007cc249f0c9eb7dedefa36b1d41534122f4bb7de0,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/friends_hover.png,1403,"[64, 64]",True,page_specific_or_candidate,6276aaa9ead22a0186d6dbdfe4a7ccb1495e371a51b76160c5ea0d7e49db9a0e,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/friends_normal.png,1398,"[64, 64]",True,page_specific_or_candidate,667221ca75e76c83557524a9a887d899b35f7998fc6adca976c4cc1e8649ad46,icon.archive.friends,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/friends_selected.png,1397,"[64, 64]",True,page_specific_or_candidate,95157db9febfd7718d36c745827211e079ef78ffe9ccb97648c9dd0a2a2c1086,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/hint_disabled.png,498,"[64, 64]",True,page_specific_or_candidate,7ccdc2bd6a56225afcca6d9dbaa5bd1f3384813aab0d17c8a677359080681780,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/hint_hover.png,496,"[64, 64]",True,page_specific_or_candidate,d5b041550892133850c63606284984c60de52757d9e17d20790401d4d6e0a56b,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/hint_normal.png,498,"[64, 64]",True,page_specific_or_candidate,8e40a544f0789a87468771f330d7bbaa99c129081458d0a06e34b5eebdf97e83,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/hint_selected.png,498,"[64, 64]",True,page_specific_or_candidate,c01a1b89c83570f850a40fadd3fd578ccb8861e79241bd7d89266d6c590d0b27,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/points_disabled.png,1412,"[64, 64]",True,page_specific_or_candidate,a82955a9d1c865a01c9d5a1b011fe77eeb3e5650441f7dd778137cca7d45fa56,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/points_hover.png,1417,"[64, 64]",True,page_specific_or_candidate,13db95de07b5f213075482d7a2309ad736b9618abc5188dabe2a71cfb0e7222a,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/points_normal.png,1425,"[64, 64]",True,page_specific_or_candidate,e4f28898782b210d3d71102d30dbf8c56f06b00c61310009a3ac8be9f03b6f51,icon.archive.points,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/points_selected.png,1425,"[64, 64]",True,page_specific_or_candidate,234f0e16fe05a50ac3d2482ed5d3fec045d0d669a290f837abd36b555748926d,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/spell_disabled.png,1529,"[64, 64]",True,page_specific_or_candidate,982906b0c37ffbb965406836b1b04f812f792eb1af6bff12467b9204cf203487,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/spell_hover.png,1550,"[64, 64]",True,page_specific_or_candidate,07759f7d1b0711a7df29ddf1a0ef5b459e482bfbf8a852297c1b5a89201dbdd4,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/spell_normal.png,1549,"[64, 64]",True,page_specific_or_candidate,6d05467438ab6abe2beeca20e33a359064d1d0981a18c4d0255281e328bd6507,icon.archive.spell,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/spell_selected.png,1549,"[64, 64]",True,page_specific_or_candidate,43863ada4f227dc0469905fcdd7f01631dc735a4bd00faa67da8c2377ec4e95b,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/void_disabled.png,1168,"[64, 64]",True,page_specific_or_candidate,e82db49ebe9a6485c1b5e7909c12b40dba7c1eca4908793d209e730f8f6551ef,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/void_hover.png,1160,"[64, 64]",True,page_specific_or_candidate,231b8551c0714fc51fa9649745c9e7a30e6c0ea7c1f5720e88baceae97741af9,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/void_normal.png,1169,"[64, 64]",True,page_specific_or_candidate,cc6b8836edbc900b3f0c9db841bfe019223411453b371f1ca6938552247ef7f4,icon.archive.void,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/void_selected.png,1166,"[64, 64]",True,page_specific_or_candidate,f5ca4bbf57c1371a6299ee7f3843478b14ace33235a72661996fe0a7344116d6,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/weapon_disabled.png,1072,"[64, 64]",True,page_specific_or_candidate,4854b1d3ceb362edfe791a7b7e3aa4e92a81e5a19516d2b83ecf709b7af3de4d,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/weapon_hover.png,1089,"[64, 64]",True,page_specific_or_candidate,a99a7425e507f998309e8daab02b17ea8036fa3ffc511b6140b8e4dcd662584f,,保留原包；只在需要时接入
archive_ui_kit_v1/icons_rgba/weapon_normal.png,1093,"[64, 64]",True,page_specific_or_candidate,e3f03248e2e8e928c049660e180f53aa16eb40f76fb09837bb7fff82242bff9d,icon.archive.weapon,candidate_requires_visual_check
archive_ui_kit_v1/icons_rgba/weapon_selected.png,1094,"[64, 64]",True,page_specific_or_candidate,5b17e6bbf12775df7fe6ffc50bbc8362880e7848fd96eece2137dcd0807190cb,,保留原包；只在需要时接入
archive_ui_kit_v1/reference/blank_shell_generated.png,1840045,"[1672, 941]",False,page_specific_or_candidate,a951274b50bf28eadc40ff85ce20afcae1ace2b48c75e2133dbe3b8dee078a23,,保留原包；只在需要时接入
archive_ui_kit_v1/reference/components_generated.png,589961,"[1536, 1024]",False,invalid_image_do_not_use,4ce43aa1ad697ba5b6f18dac15ea9538282238c5aab2f156d70d69738a03a99c,,保留原包；只在需要时接入
archive_ui_kit_v1/reference/original.png,2169171,"[1672, 941]",False,page_specific_or_candidate,b6d75fdee775740a05241692b9a0bccd677d0ddf38ac03bef2670c474335fe32,,保留原包；只在需要时接入
